Métrica,Valor,Visualização
Accuracy,0.48717948717948717,█████████░░░░░░░░░░░ 0.4872
Precision,0.4859799271262777,█████████░░░░░░░░░░░ 0.4860
Recall,0.48717948717948717,█████████░░░░░░░░░░░ 0.4872
F1-Score,0.48099966211936573,█████████░░░░░░░░░░░ 0.4810
Kappa,0.3072055068280227,██████░░░░░░░░░░░░░░ 0.3072
AUC,0.7553790380202599,███████████████░░░░░ 0.7554
