,0,1,2,3,macro avg,weighted avg
Precision,0.58,0.474,0.351,0.509,0.47838520507959437,0.4859799271262777
Recall,0.63,0.581,0.328,0.351,0.4721982485070798,0.48717948717948717
F1-Score,0.604,0.522,0.339,0.415,0.469914273131211,0.48099966211936573
Support,81.0,93.0,61.0,77.0,312.0,312.0
