Métrica,Valor,Visualização
Accuracy,0.3301282051282051,██████░░░░░░░░░░░░░░ 0.3301
Precision,0.33560325445967865,██████░░░░░░░░░░░░░░ 0.3356
Recall,0.3301282051282051,██████░░░░░░░░░░░░░░ 0.3301
F1-Score,0.31974851268439164,██████░░░░░░░░░░░░░░ 0.3197
Kappa,0.08621076233183855,█░░░░░░░░░░░░░░░░░░░ 0.0862
AUC,0.5731603959128719,███████████░░░░░░░░░ 0.5732
