,0,1,2,3,macro avg,weighted avg
Precision,0.357,0.287,0.553,0.2,0.34913478549314464,0.33560325445967865
Recall,0.432,0.419,0.344,0.104,0.3249030007799618,0.3301282051282051
F1-Score,0.391,0.341,0.424,0.137,0.3231668418050795,0.31974851268439164
Support,81.0,93.0,61.0,77.0,312.0,312.0
