Métrica,Valor,Visualização
Accuracy,0.9807692307692307,███████████████████░ 0.9808
Precision,0.9811221074775293,███████████████████░ 0.9811
Recall,0.9807692307692307,███████████████████░ 0.9808
F1-Score,0.9807698769424801,███████████████████░ 0.9808
Kappa,0.9741992392083356,███████████████████░ 0.9742
AUC,0.9994287012447248,███████████████████░ 0.9994
