,0,1,2,3,macro avg,weighted avg
Precision,0.976,0.989,0.952,1.0,0.9792933639319181,0.9811221074775293
Recall,1.0,0.957,0.984,0.987,0.9819021979254661,0.9807692307692307
F1-Score,0.988,0.973,0.968,0.993,0.9804221153621622,0.9807698769424801
Support,81.0,93.0,61.0,77.0,312.0,312.0
